job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
577,Data Entry Clerk,"US, NY, New York",Sales,50000-70000,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,,1,0,0,Full-time,Mid-Senior level,High School or equivalent,Financial Services,Engineering,0
578,Marketing Manager,"US, NY, New York",Sales,1000-2000,We are a leading tech firm establishing global remote teams.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,,1,0,0,,Entry level,High School or equivalent,Marketing,Administrative,0
579,Urgent Hiring Admin,"US, NY, New York",Sales,100000-120000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,0,1,Part-time,Entry level,High School or equivalent,Financial Services,,0
580,Customer Service Rep,"PK, LHR, Lahore",IT,1000-2000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,1,0,Part-time,Entry level,Bachelor's Degree,Information Technology,Engineering,0
581,Urgent Hiring Admin,"US, CA, Los Angeles",IT,100000-120000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,,1,0,1,,Entry level,,Financial Services,Administrative,0
582,Software Engineer,"US, CA, Los Angeles",,100000-120000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,1,Full-time,Associate,High School or equivalent,Marketing,,0
583,Data Entry Clerk,"PK, LHR, Lahore",Sales,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,1,1,Full-time,Mid-Senior level,High School or equivalent,Information Technology,Sales,0
584,Work From Home Specialist,"IN, DEL, Delhi",IT,100000-120000,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,0,Full-time,Entry level,Bachelor's Degree,Marketing,,0
585,Urgent Hiring Admin,"PK, LHR, Lahore",Admin,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",,0,1,1,Contract,Associate,,Information Technology,Engineering,0
586,Customer Service Rep,"US, CA, Los Angeles",IT,,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,1,0,Contract,Entry level,Bachelor's Degree,Financial Services,Engineering,0
587,Software Engineer,"US, CA, Los Angeles",IT,50000-70000,Immediate opening! Send bank details for equipment processing.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,,0,1,1,,,High School or equivalent,Marketing,,0
588,Work From Home Specialist,"US, NY, New York",IT,1000-2000,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,1,0,Full-time,Mid-Senior level,High School or equivalent,Financial Services,Engineering,0
589,Urgent Hiring Admin,"PK, LHR, Lahore",,,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,0,1,Part-time,Associate,Bachelor's Degree,,,0
590,Software Engineer,"US, CA, Los Angeles",,1000-2000,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",0,1,1,Part-time,,High School or equivalent,Financial Services,,0
591,Urgent Hiring Admin,"US, NY, New York",IT,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,1,,Associate,,,,0
592,Customer Service Rep,"US, NY, New York",,100000-120000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,0,1,Full-time,Associate,Bachelor's Degree,,Engineering,0
593,Software Engineer,"US, NY, New York",Admin,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,1,1,Full-time,Mid-Senior level,High School or equivalent,Financial Services,Administrative,0
594,Urgent Hiring Admin,"US, CA, Los Angeles",Admin,50000-70000,Immediate opening! Send bank details for equipment processing.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,1,1,Part-time,Associate,Bachelor's Degree,Information Technology,Sales,0
595,Customer Service Rep,"IN, DEL, Delhi",Sales,50000-70000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,,1,0,1,Part-time,Entry level,,,Administrative,0
596,Customer Service Rep,"US, NY, New York",Sales,1000-2000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,0,,Associate,,Marketing,Administrative,0
597,Customer Service Rep,"US, CA, Los Angeles",Customer Care,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,0,1,Contract,,Bachelor's Degree,,Sales,0
598,Customer Service Rep,"US, NY, New York",Admin,,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,1,1,Full-time,Entry level,,Financial Services,Administrative,0
599,Urgent Hiring Admin,"IN, DEL, Delhi",Admin,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,0,0,,Mid-Senior level,Bachelor's Degree,Marketing,Sales,0
600,Customer Service Rep,"PK, LHR, Lahore",IT,50000-70000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,1,0,,Entry level,Bachelor's Degree,Financial Services,Engineering,0
601,Software Engineer,"US, CA, Los Angeles",Admin,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,1,1,Contract,Mid-Senior level,High School or equivalent,Information Technology,Engineering,0
602,Software Engineer,"US, CA, Los Angeles",,1000-2000,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,1,,Associate,,Financial Services,Sales,0
603,Marketing Manager,"US, NY, New York",,1000-2000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,1,1,Full-time,,Bachelor's Degree,Financial Services,Administrative,0
604,Customer Service Rep,"US, CA, Los Angeles",Sales,1000-2000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,,1,0,1,Contract,Entry level,,Financial Services,Engineering,0
605,Marketing Manager,"US, CA, Los Angeles",IT,100000-120000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,,0,0,1,Full-time,Associate,,Marketing,,0
606,Customer Service Rep,"US, NY, New York",,1000-2000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,1,1,,Mid-Senior level,Bachelor's Degree,,,0
607,Software Engineer,"PK, LHR, Lahore",Admin,1000-2000,Immediate opening! Send bank details for equipment processing.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,1,0,,,Bachelor's Degree,Information Technology,,0
608,Marketing Manager,"PK, LHR, Lahore",Sales,50000-70000,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,1,Part-time,,High School or equivalent,Financial Services,Engineering,0
609,Customer Service Rep,"US, CA, Los Angeles",Admin,,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,,1,1,0,Full-time,Entry level,High School or equivalent,,,0
610,Software Engineer,"US, NY, New York",Sales,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,0,,,,Information Technology,Engineering,0
611,Work From Home Specialist,"PK, LHR, Lahore",Admin,100000-120000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,1,1,Contract,Associate,High School or equivalent,Financial Services,Engineering,0
612,Software Engineer,"US, CA, Los Angeles",Customer Care,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",,1,0,1,Full-time,Mid-Senior level,High School or equivalent,Financial Services,Engineering,0
613,Customer Service Rep,"US, NY, New York",,50000-70000,We are a leading tech firm establishing global remote teams.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing,Engineering,0
614,Customer Service Rep,"IN, DEL, Delhi",Sales,,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,,0,1,1,Part-time,,,Financial Services,,0
615,Urgent Hiring Admin,"PK, LHR, Lahore",,100000-120000,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,0,1,Full-time,Associate,Bachelor's Degree,Marketing,Engineering,0
616,Customer Service Rep,"IN, DEL, Delhi",Customer Care,50000-70000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,,0,1,0,,,,,Administrative,0
617,Work From Home Specialist,"US, NY, New York",,50000-70000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,0,1,Full-time,,,,Administrative,0
618,Data Entry Clerk,"US, CA, Los Angeles",Customer Care,,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,,1,0,0,Full-time,Entry level,Bachelor's Degree,Information Technology,,0
619,Urgent Hiring Admin,"PK, LHR, Lahore",IT,,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,,0,0,1,,Entry level,High School or equivalent,Financial Services,,0
620,Work From Home Specialist,"PK, LHR, Lahore",IT,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,0,0,Full-time,Entry level,,Marketing,Administrative,0
621,Customer Service Rep,"IN, DEL, Delhi",IT,,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",,0,1,1,Part-time,Mid-Senior level,Bachelor's Degree,Marketing,Administrative,0
622,Software Engineer,"IN, DEL, Delhi",Sales,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,0,0,Contract,Associate,,Marketing,Administrative,0
623,Customer Service Rep,"US, NY, New York",IT,1000-2000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",0,0,0,Part-time,,,,Engineering,0
624,Software Engineer,"IN, DEL, Delhi",Sales,100000-120000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,Weekly cash bonuses.,1,0,1,,Associate,,Information Technology,Sales,0
625,Marketing Manager,"US, CA, Los Angeles",Customer Care,50000-70000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,1,1,Full-time,Entry level,High School or equivalent,Information Technology,Sales,0
626,Software Engineer,"PK, LHR, Lahore",IT,,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,,0,0,0,Part-time,,Bachelor's Degree,Marketing,,0
627,Software Engineer,"US, NY, New York",Sales,,We are a leading tech firm establishing global remote teams.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,,0,1,1,Contract,Entry level,Bachelor's Degree,Information Technology,Administrative,0
628,Urgent Hiring Admin,"IN, DEL, Delhi",,1000-2000,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,,1,0,1,Part-time,Associate,High School or equivalent,Financial Services,Engineering,0
629,Data Entry Clerk,"US, NY, New York",IT,,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,0,1,Part-time,Entry level,Bachelor's Degree,Financial Services,Sales,0
630,Data Entry Clerk,"IN, DEL, Delhi",Sales,50000-70000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,0,Contract,Associate,Bachelor's Degree,Marketing,Engineering,0
631,Work From Home Specialist,"US, CA, Los Angeles",,,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,1,1,Contract,,Bachelor's Degree,Information Technology,Sales,0
632,Customer Service Rep,"US, NY, New York",IT,100000-120000,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,1,1,Part-time,,High School or equivalent,Marketing,Sales,0
633,Marketing Manager,"US, NY, New York",IT,,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,0,0,Part-time,Entry level,Bachelor's Degree,Information Technology,,0
634,Marketing Manager,"US, CA, Los Angeles",Sales,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,1,1,,Associate,Bachelor's Degree,Information Technology,,0
635,Work From Home Specialist,"IN, DEL, Delhi",,,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,1,0,Full-time,Associate,,Information Technology,,0
636,Customer Service Rep,"PK, LHR, Lahore",,1000-2000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,,0,0,1,Part-time,Associate,High School or equivalent,Information Technology,Sales,0
637,Work From Home Specialist,"PK, LHR, Lahore",,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,0,Contract,,,,Sales,0
638,Software Engineer,"IN, DEL, Delhi",,100000-120000,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,Weekly cash bonuses.,1,1,0,Full-time,Mid-Senior level,High School or equivalent,Information Technology,Sales,0
639,Software Engineer,"US, NY, New York",IT,50000-70000,We are a leading tech firm establishing global remote teams.,Simple copy paste job. High commission guaranteed.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,0,1,Full-time,Mid-Senior level,Bachelor's Degree,,Engineering,0
640,Marketing Manager,"US, NY, New York",Sales,,Immediate opening! Send bank details for equipment processing.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,1,1,Part-time,Associate,High School or equivalent,Financial Services,Administrative,0
641,Marketing Manager,"IN, DEL, Delhi",Admin,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,0,1,,Associate,,Financial Services,Administrative,0
642,Customer Service Rep,"US, CA, Los Angeles",Admin,,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,,0,1,0,Full-time,,,,Administrative,0
643,Software Engineer,"PK, LHR, Lahore",Sales,1000-2000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,0,1,Contract,Mid-Senior level,Bachelor's Degree,Marketing,Engineering,1
644,Software Engineer,"IN, DEL, Delhi",Customer Care,1000-2000,Immediate opening! Send bank details for equipment processing.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",0,0,1,Contract,,Bachelor's Degree,Marketing,Engineering,0
645,Marketing Manager,"US, NY, New York",,,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,,0,1,0,Contract,,,Financial Services,Engineering,0
646,Data Entry Clerk,"US, CA, Los Angeles",Sales,,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,,1,0,1,Contract,,High School or equivalent,Financial Services,Administrative,0
647,Work From Home Specialist,"IN, DEL, Delhi",IT,,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",,1,1,1,,Entry level,High School or equivalent,,Administrative,0
648,Marketing Manager,"PK, LHR, Lahore",IT,1000-2000,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,1,1,Contract,Associate,,Financial Services,,0
649,Customer Service Rep,"PK, LHR, Lahore",,1000-2000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",,0,1,0,Part-time,Entry level,Bachelor's Degree,,,0
650,Software Engineer,"IN, DEL, Delhi",Admin,1000-2000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,1,0,Part-time,,,Marketing,Engineering,0
651,Data Entry Clerk,"IN, DEL, Delhi",Sales,100000-120000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,1,0,0,Contract,Mid-Senior level,,Marketing,Engineering,0
652,Software Engineer,"PK, LHR, Lahore",Sales,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,1,Part-time,Associate,,Information Technology,Sales,0
653,Urgent Hiring Admin,"US, NY, New York",Customer Care,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,,1,0,0,Full-time,Mid-Senior level,High School or equivalent,Information Technology,Sales,0
654,Urgent Hiring Admin,"US, NY, New York",,100000-120000,Established multi-national logistics company.,Simple copy paste job. High commission guaranteed.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,0,0,Full-time,Entry level,High School or equivalent,,Sales,0
655,Marketing Manager,"US, NY, New York",Admin,1000-2000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,0,,Associate,,Marketing,Engineering,0
656,Customer Service Rep,"PK, LHR, Lahore",,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,0,1,Full-time,Entry level,High School or equivalent,,Engineering,0
657,Software Engineer,"PK, LHR, Lahore",Customer Care,1000-2000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,0,0,Part-time,,Bachelor's Degree,Financial Services,,0
658,Customer Service Rep,"US, CA, Los Angeles",Admin,,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",,0,1,0,Part-time,Associate,High School or equivalent,Marketing,Sales,0
659,Software Engineer,"IN, DEL, Delhi",IT,1000-2000,We are a leading tech firm establishing global remote teams.,Manage customer queries via ticket portal and phone support.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,1,1,Contract,Entry level,High School or equivalent,Marketing,Engineering,0
660,Urgent Hiring Admin,"US, CA, Los Angeles",,,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,1,0,Part-time,,High School or equivalent,Information Technology,,0
661,Urgent Hiring Admin,"US, CA, Los Angeles",IT,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,1,1,,,High School or equivalent,Information Technology,Administrative,0
662,Urgent Hiring Admin,"US, NY, New York",Customer Care,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",1,1,1,,Entry level,,,Engineering,0
663,Software Engineer,"IN, DEL, Delhi",,50000-70000,Established multi-national logistics company.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.",,0,0,1,Contract,Associate,,Information Technology,Sales,0
664,Software Engineer,"US, NY, New York",,100000-120000,Established multi-national logistics company.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,0,,,,Financial Services,Engineering,0
665,Software Engineer,"IN, DEL, Delhi",Customer Care,50000-70000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",0,0,0,Contract,Entry level,,,,0
666,Data Entry Clerk,"IN, DEL, Delhi",,100000-120000,Established multi-national logistics company.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,1,1,Contract,Associate,High School or equivalent,Financial Services,Engineering,0
667,Work From Home Specialist,"PK, LHR, Lahore",,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,0,1,Part-time,Associate,High School or equivalent,Marketing,Administrative,0
668,Customer Service Rep,"IN, DEL, Delhi",Customer Care,,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",1,0,0,Contract,,High School or equivalent,Marketing,Engineering,0
669,Data Entry Clerk,"US, NY, New York",Customer Care,100000-120000,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,1,1,0,Full-time,Associate,,Marketing,,0
670,Data Entry Clerk,"US, NY, New York",Customer Care,,Immediate opening! Send bank details for equipment processing.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Strong communication skills and team management experience.,,0,0,1,Contract,Mid-Senior level,High School or equivalent,Marketing,,1
671,Customer Service Rep,"IN, DEL, Delhi",Sales,,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Strong communication skills and team management experience.,Weekly cash bonuses.,1,1,0,Full-time,Mid-Senior level,High School or equivalent,Information Technology,,0
672,Software Engineer,"PK, LHR, Lahore",,100000-120000,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,Weekly cash bonuses.,0,1,1,Part-time,Entry level,Bachelor's Degree,Marketing,Sales,0
673,Data Entry Clerk,"US, NY, New York",Sales,,Immediate opening! Send bank details for equipment processing.,Simple copy paste job. High commission guaranteed.,Must have laptop and active internet. No qualifications needed.,Weekly cash bonuses.,0,0,1,Full-time,,High School or equivalent,Marketing,,0
674,Marketing Manager,"IN, DEL, Delhi",IT,100000-120000,We are a leading tech firm establishing global remote teams.,Urgent requirement! High payout daily. Contact personal gmail address immediately.,"Bachelor degree in CS, 2+ years Python experience required.",Weekly cash bonuses.,0,0,1,,Entry level,High School or equivalent,Information Technology,Sales,0
675,Work From Home Specialist,"US, NY, New York",Customer Care,100000-120000,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,,0,0,1,Contract,,High School or equivalent,,,0
676,Software Engineer,"US, CA, Los Angeles",Customer Care,,Immediate opening! Send bank details for equipment processing.,Looking for experienced Python developer with FastAPI and SQL skills.,"Bachelor degree in CS, 2+ years Python experience required.","Health insurance, 401k, paid leaves.",0,0,1,Part-time,Associate,High School or equivalent,Financial Services,,0
677,Software Engineer,"US, NY, New York",Sales,,We are a leading tech firm establishing global remote teams.,Looking for experienced Python developer with FastAPI and SQL skills.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,0,1,,Mid-Senior level,High School or equivalent,Information Technology,Administrative,0
678,Customer Service Rep,"US, CA, Los Angeles",,,Immediate opening! Send bank details for equipment processing.,Manage customer queries via ticket portal and phone support.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",0,0,1,Full-time,,,Financial Services,,0
679,Work From Home Specialist,"PK, LHR, Lahore",Admin,,Earn $500 daily working 2 hours from home. No experience needed!,Urgent requirement! High payout daily. Contact personal gmail address immediately.,Must have laptop and active internet. No qualifications needed.,"Health insurance, 401k, paid leaves.",0,1,1,Full-time,Mid-Senior level,,Financial Services,Administrative,0
680,Marketing Manager,"US, NY, New York",Admin,1000-2000,Earn $500 daily working 2 hours from home. No experience needed!,Simple copy paste job. High commission guaranteed.,Strong communication skills and team management experience.,"Health insurance, 401k, paid leaves.",1,1,1,Part-time,Entry level,,Financial Services,,0
